Index_Name,Index_Type,Data_Source,App,Retention,Used_By,Index_Description
appo365,event,DS024ApplicationServer,org_all_indexes,90,# Office 265,
apprigor,event,DS024ApplicationServer,org_all_indexes,90,# Splunk Synthetic,
appvictorops,event,DS022Performance,org_all_indexes,90,# ITSI,
appwebextmsexchange,event,DS005WebProxyRequest,org_all_indexes,30,# Application Security,
comms,event,DS034ApplicationLogs,org_all_indexes,90,# voip and webconference,
dbx,event,DS029DatabaseServer,org_all_indexes,30,# Default,
email,event,DS001MAIL,org_all_indexes,90,# Email,
epfw,event,DS010NetworkCommunication,org_all_indexes,30,# Endpoint,
ephids,event,DS009EndPointIntel,org_all_indexes,30,# Endpoint,
eventgen,event,DS033SystemLogs,SA-Eventgen,30,# Default,
history,event,DS033SystemLogs,system,7,# Default,
infraops,event,DS010NetworkCommunication,org_all_indexes,90,# Network,
itsi_im_metrics,metric,DS022Performance,Splunk_TA_Infrastructure,30,# ITSI,
journald,event,DS033SystemLogs,org_all_indexes,90,# Journald input,
netdlp,event,DS016DataLossPrevention,org_all_indexes,30,# Network,
print,event,DS034ApplicationLogs,org_all_indexes,90,# Printers,
security_getting_started,event,DS034ApplicationLogs,org_all_indexes,30,# Legacy,
em_metrics,metric,DS022Performance,Splunk_TA_Infrastructure,30,# Splunk Add-on for Infrastructure,# (Optional opt-in for SC4S operational metrics; ensure this is created as a metrics index)
itsi_summary_metrics,metric,DS022Performance,SA-IndexCreation,30,# ITSI,"# A metrics index that stores the results of scheduled KPI searches. Every KPI is summarized in both the itsi_summary events index and the metrics index. This index improves the performance of the searches dispatched by ITSI, particularly for very large environments."
appmsadsec,event,DS003Authentication,org_all_indexes,30,# Application Security,# AD Security Logs
_telemetry,event,DS007AuditTrail,system,7,# Internal,"# After license usage reporting is enabled, the first time product instrumentation runs, it creates a new file in $SPLUNK_HOME/var/log/splunk. The file is called license_usage_summary.log and is limited in size to 25 MB.  The file is indexed to a new internal index _telemetry.  The _telemetry index is retained for two years by default and is limited in size to 256 MB."
